x0,beta,di0,di2,delta,source
-237.72689428246233,0.8184489399776179,0.3702940446397831,0.0005021597815253267,-0.3427162744596102,-3900.0
-250.32296268643233,0.844792498135226,0.36680484767878896,0.001896090934975669,-0.31918787091362194,-3890.0
-262.0555458300303,0.848384780189248,0.3660557851190959,0.0025066549488499987,-0.31971778124625866,-3880.0
-273.6106414131622,0.7346394112365219,0.3142735362486668,0.0006280686850659657,-0.3049342298264483,-3870.0
-285.78712001190786,0.8348060986410848,0.3618929433207035,0.0018736285109157017,-0.31494588119029754,-3860.0
-297.04538521948774,0.8451526751817827,0.3499551347455839,0.002187461741834526,-0.3083816541250832,-3850.0
-308.3339485091566,0.8330177374782737,0.34526352573240643,0.0025579926427755253,-0.3229037037551495,-3840.0
-319.5776762893672,0.8164032891334336,0.3335396973608874,0.0018900858296473462,-0.3140476488738833,-3830.0
-330.79915843103294,0.85426314089383,0.30864710929692485,0.002283803830200647,-0.3140833581811126,-3820.0
-341.7678328159226,0.8439039891782564,0.29905473569458546,0.002012911355429405,-0.34979561042217766,-3810.0
-352.59782561376255,0.8497118341929021,0.2775344347511157,0.0018200538775063162,-0.34197534339561997,-3800.0
-364.01237986604957,0.8678335128057918,0.24572410910270834,0.0014424091775015518,-0.3658001087434793,-3790.0
-374.71943397008914,0.8926514900134863,0.21982782488305944,0.0016492140332430203,-0.40560302303357015,-3780.0
-385.329243582795,0.9405202240829386,0.1876717679345707,0.001735800898395199,-0.4273070821480947,-3770.0
-396.1003631933395,1.065437482936716,0.1556786310093135,0.0015455834080931898,-0.48489837370047767,-3760.0
-406.70315827107214,1.01775657239536,0.13850563416894113,0.002035726238110908,-0.5075960597931195,-3750.0
-417.9024127352561,1.226184926530683,0.10498278817204261,0.001490252903783927,-0.5986424567232485,-3740.0
-428.54084598529204,1.3360335410469681,0.08542441588152855,0.0013156141948061023,-0.6613020057833419,-3730.0
-439.1003012388387,1.5413592054262304,0.06827384641769872,0.0014409419802874678,-0.6694742272069191,-3720.0
-449.5614313216607,1.71263523577212,0.052915931303671476,0.0011698642310329832,-0.7506427021038268,-3710.0
-460.2368862898324,1.936784436299669,0.041409649699482895,0.0011093929495434014,-0.803494248911797,-3700.0
-470.97149321015456,2.179580117064812,0.03253518373515589,0.0008384942223178413,-0.9028806106988763,-3690.0
-481.7199516939471,2.406582617803176,0.027622426705509073,0.001056428686602742,-0.8605515948093254,-3680.0
-492.37777191570643,2.640459656623313,0.02195116406391675,0.0010768773407877333,-0.8854863393684274,-3670.0
-502.9112497639548,2.7779872922151476,0.018109034571302102,0.0012059948561612749,-0.8530767979290267,-3660.0
-514.1017182088947,3.5044426266089634,0.011249614713554955,0.0002541406839765081,-1.3487297863415573,-3650.0
-524.6729748329254,3.469361793344101,0.010631450655949363,0.0010225601657262039,-1.0736627289996796,-3640.0
-535.3647412458089,3.7435724314298073,0.008123199566559389,0.0009711545709650546,-1.1299393869446441,-3630.0
-545.5924145479645,3.7125447305070596,0.0074952823513949034,0.0015134227712145104,-0.7781049213075215,-3620.0
-556.6005792685739,4.123434066556536,0.005427663455645357,0.0010514534374330249,-1.0381495133316658,-3610.0
-566.2641808161915,4.9421105432774635,0.005868695474801765,0.0011426255194606472,-0.6083242094949503,-3600.0
