x0,gamma,i0,i1,i2,source
-239.9999999843663,2.50000000004721,0.0029743403524767373,0.0011255372997232159,9.126872729643937,-3900.0
-251.06249999302293,2.5000000000398765,0.0029743403524767373,0.9223028774990123,8.604477308715662,-3890.0
-262.1249999999353,2.5000000000302416,0.0029743403524767373,0.9976002549976846,8.27469717681417,-3880.0
-273.1250000022836,2.499999999958872,0.0029743403524767373,0.9948843774157259,8.04343389470507,-3870.0
-284.1875000025792,2.499999999948644,0.0029743403524767373,0.5471432798024298,7.568109796556815,-3860.0
-295.2500000015821,2.499999999997503,0.0029743403524767373,0.3559449593416338,7.3977008431881135,-3850.0
-306.24999999566506,2.4999999999408065,0.0029743403524767373,0.007238057341614419,0.31688824483404154,-3840.0
-317.312499999346,2.499999999946164,0.0029743403524767373,0.05014253526718,7.014851099746711,-3830.0
-328.31249999853145,2.499999999947369,0.0029743403524767373,0.0018297305875763148,6.824970713634169,-3820.0
-339.3749999989414,2.49999999994578,0.0029743403524767373,0.008852515608947734,6.674234869257956,-3810.0
-350.4374999996325,2.4999999999567177,0.0029743403524767373,0.05607628453933912,6.515632292826686,-3800.0
-361.4374999987261,2.4999999999557905,0.0029743403524767373,0.004510670791461968,6.279911559430454,-3790.0
-372.4999999995338,2.499999999963339,0.0029743403524767373,0.025279571396340874,6.123354714255946,-3780.0
-383.5000000000599,2.4999999999768434,0.0029743403524767373,0.16515835889962202,5.98078645414236,-3770.0
-394.562500000077,2.499999999993669,0.0029743403524767373,0.23566662652021914,5.814414397932477,-3760.0
-405.6250000000579,2.4999999999902593,0.0029743403524767373,0.3778637536128879,5.684059463419516,-3750.0
-416.6249999999176,2.5000000000013953,0.0029743403524767373,0.23118350301588467,5.428875929270644,-3740.0
-427.6874999999124,2.50000000000695,0.0029743403524767373,0.24580677262378897,5.258248039419037,-3730.0
-438.68749999993844,2.500000000012027,0.0029743403524767373,0.20241550240577064,5.082165224768385,-3720.0
-449.74999999999966,2.5000000000119793,0.0029743403524767373,0.12227380506345215,4.912314584517311,-3710.0
-460.81249999988387,2.50000000000948,0.0029743403524767373,0.0499057218669586,4.700160611394525,-3700.0
-471.81249999965917,2.500000000007757,0.0029743403524767373,0.01421685473702372,4.467890928558752,-3690.0
-482.8749999993431,2.5000000000068616,0.0029743403524767373,0.0013754448152699487,4.232692521491904,-3680.0
-493.87499999901854,2.500000000005557,0.0029743403524767373,0.0031359764987252325,3.982962132199223,-3670.0
-504.9374999986494,2.5000000000048725,0.0029743403524767373,0.014924081917255711,3.7459642464803835,-3660.0
-515.9999999983067,2.5000000000039346,0.0029743403524767373,0.020557455560532862,3.4994695469507207,-3650.0
-526.9999999978999,2.50000000000352,0.0029743403524767373,0.032033827039693964,3.2675436722502607,-3640.0
-538.0624999975553,2.500000000003355,0.0029743403524767373,0.036017350417143504,3.0354195712143763,-3630.0
-549.0624999971141,2.500000000002793,0.0029743403524767373,0.04223347958321535,2.818267421836965,-3620.0
-560.1249999967142,2.500000000002845,0.0029743403524767373,0.04509586276285618,2.6105866704550253,-3610.0
-571.1874999963381,2.5000000000025637,0.0029743403524767373,0.04543885545590709,2.4076154263008376,-3600.0
-582.1874999960328,2.500000000002298,0.0029743403524767373,0.044985954689709465,2.2247065329927107,-3590.0
-593.2499999956598,2.500000000002358,0.0029743403524767373,0.04472821846111975,2.0451908186708554,-3580.0
-604.2499999953701,2.5000000000028795,0.0029743403524767373,0.03848233028543811,1.8893708893199923,-3570.0
-615.3124999951418,2.5000000000022315,0.0029743403524767373,0.03597876981932608,1.7368824383660908,-3560.0
-626.3749999949941,2.500000000002305,0.0029743403524767373,0.0361936515362886,1.5946897113924063,-3550.0
-637.3749999948787,2.500000000002248,0.0029743403524767373,0.03299345019696982,1.4576605785511754,-3540.0
-648.4374999949019,2.5000000000023097,0.0029743403524767373,0.031123323323667015,1.3388456973787244,-3530.0
-659.4374999951408,2.5000000000023244,0.0029743403524767373,0.028680733200181576,1.2289628954670573,-3520.0
-670.4999999955862,2.500000000607433,0.0029743403524767373,0.02603973887658067,1.1287447870661582,-3510.0
-681.5625000042385,2.3782070506853703,0.0029743403524767373,0.03352904934512338,1.0451692044714922,-3500.0
