x0,gamma,di0,di2,source
-238.33197256800128,0.46044383531920813,0.1338288940723309,0.002039294864077612,-3900.0
-250.95736850822436,0.45001217106983404,0.13612696050913864,0.0021357048826997904,-3890.0
-262.7112002336631,0.4777213067436355,0.13267456625873475,0.0020987373245078544,-3880.0
-274.12586064398585,0.3165003328729654,0.12611186832277244,0.0013537151977550954,-3870.0
-286.4341318775855,0.4586232870034193,0.13144334118831202,0.002209791807780803,-3860.0
-297.6947360129252,0.4591215546153646,0.12722651229312598,0.001985828459564659,-3850.0
-308.9631455346413,0.44757990409565496,0.12962563582299858,0.001972171060466363,-3840.0
-320.182307232066,0.4279722401496673,0.12386064283123832,0.0017377197076912099,-3830.0
-331.44940729469425,0.47354680988573455,0.11220437464180111,0.0017126261698712647,-3820.0
-342.39790031039405,0.4740682053017117,0.11266603146945275,0.00167717889167876,-3810.0
-353.23080659674866,0.46977166651901314,0.10458512699257239,0.0016631107280065116,-3800.0
-364.64201855343384,0.4704138891528572,0.09630570151312523,0.001460314444158256,-3790.0
-375.3515021699232,0.5100277893230376,0.08842280044795703,0.0013096021444898576,-3780.0
-385.9781992230042,0.5464584580732167,0.07729467205322194,0.0010746459398848912,-3770.0
-396.8255386171158,0.6415164736802385,0.06785618477178734,0.0010659107961264735,-3760.0
-407.37893863975296,0.6482917469724288,0.060854061578407004,0.0007890644702323729,-3750.0
-418.6525925614926,0.7703873547772381,0.05150549041205266,0.0007927974936443177,-3740.0
-429.32477681738334,0.857671533499351,0.04451535689008135,0.0007654663479734758,-3730.0
-440.00224345598735,1.0339836956981339,0.03587987233896195,0.0007090639647173991,-3720.0
-450.5182471514122,1.1786195627699,0.02973607005462675,0.0006056163984799329,-3710.0
-461.2817930449725,1.3928627061536263,0.024451221343914087,0.000665381430742823,-3700.0
-472.0950589318628,1.6258772996153947,0.020552785455683065,0.0006306765917536705,-3690.0
-483.02869447741693,1.890210682808831,0.01708946692312252,0.0005615232183978913,-3680.0
-493.7783249103276,2.1273332105913507,0.014219707569527174,0.0005927081672872925,-3670.0
-504.46222216983165,2.3696728447423765,0.01163151883966318,0.00046584374883669455,-3660.0
-515.5415335739357,2.944501838529308,0.009491604736354686,0.0004959686501846416,-3650.0
-526.3521594335775,3.2548179514719933,0.008432184165110268,0.0005697533454711579,-3640.0
-537.1420778852631,3.6853901350080145,0.006830190778353007,0.00047081956045569306,-3630.0
-547.778864967027,3.9828562111288743,0.005777797405729368,0.000426870967263529,-3620.0
-558.5675726531385,4.189525653623601,0.004715835217697917,0.00026038373341703835,-3610.0
-569.3937484545515,5.083698804903891,0.0041361753133983825,0.0003691984299495077,-3600.0
-580.2535437838875,5.388378530032072,0.003461660797257071,0.0002854694574887795,-3590.0
-591.0817503624887,5.974167640549851,0.002830659574748484,0.00022640234668838688,-3580.0
-602.5178863859527,5.853618653968995,0.002442326565906816,0.0002013322857616212,-3570.0
-612.7727467894068,7.343739887221249,0.0020315509932788967,0.00024098394097737952,-3560.0
-623.8706094666763,7.900375637352027,0.0017241912538579207,0.0002289885829150906,-3550.0
-633.605800052472,7.106842869769951,0.0013563558058971026,5.87688519962104e-05,-3540.0
-644.9005334826513,8.578861835738516,0.0012518519237336712,0.00015068663711947927,-3530.0
-654.6162691690696,8.054871736762934,0.001072560791366417,6.139965509126266e-05,-3520.0
-666.3031268652085,11.892298569974415,0.0010174019151676372,0.0002678254672682512,-3510.0
-676.3480746833673,11.464643038673255,0.0008462344376591879,0.0001695401297302085,-3500.0
